Date,Open,High,Low,Close,Adj Close,Volume
2017-06-21,70.400002,70.430000,69.570000,69.760002,69.405319,628300
2017-06-22,69.760002,69.870003,69.449997,69.529999,69.176491,418900
2017-06-23,69.669998,69.959999,69.580002,69.860001,69.504814,898000
2017-06-26,69.930000,70.379997,69.809998,70.300003,69.942581,818800
2017-06-27,70.370003,70.970001,70.300003,70.680000,70.320641,582500
2017-06-28,70.940002,71.839996,70.790001,71.629997,71.265808,691800
2017-06-29,72.000000,72.139999,71.250000,71.540001,71.176270,764300
2017-06-30,71.580002,71.959999,71.480003,71.489998,71.126526,651200
2017-07-03,71.510002,72.279999,71.489998,71.650002,71.285713,473300
2017-07-05,71.690002,72.139999,71.540001,71.680000,71.315559,927300
2017-07-06,71.540001,71.669998,71.160004,71.260002,70.897697,629100
2017-07-07,71.400002,71.779999,70.940002,71.629997,71.265808,612500
2017-07-10,71.519997,71.830002,71.320000,71.339996,70.977287,462000
2017-07-11,71.300003,71.790001,71.000000,71.199997,70.837997,980100
2017-07-12,71.169998,71.519997,70.930000,71.330002,70.967339,556600
2017-07-13,71.500000,71.879997,71.269997,71.540001,71.176270,640900
2017-07-14,71.309998,71.680000,70.660004,71.059998,70.698708,508600
2017-07-17,71.019997,71.800003,70.730003,71.489998,71.126526,902100
2017-07-18,71.360001,71.790001,71.070000,71.699997,71.335457,562200
2017-07-19,71.699997,71.879997,71.400002,71.809998,71.444893,526400
2017-07-20,71.820000,72.150002,71.709999,72.019997,71.653824,590600
2017-07-21,71.949997,72.790001,71.949997,72.739998,72.370171,846300
2017-07-24,72.389999,72.769997,72.389999,72.639999,72.270676,485600
2017-07-25,73.029999,73.349998,72.570000,72.739998,72.370171,780900
2017-07-26,69.760002,74.529999,69.519997,74.449997,74.071472,987600
2017-07-27,74.500000,75.230003,73.699997,74.330002,73.952087,1269000
2017-07-28,74.320000,74.739998,74.110001,74.370003,73.991882,518300
2017-07-31,74.449997,74.650002,74.269997,74.370003,73.991882,646700
2017-08-01,74.430000,74.820000,74.110001,74.779999,74.399796,708500
2017-08-02,74.760002,74.919998,74.379997,74.669998,74.290352,388100
2017-08-03,74.589996,75.269997,74.529999,75.089996,74.708221,558200
2017-08-04,75.500000,75.680000,74.940002,75.110001,74.728119,771500
2017-08-07,75.269997,75.559998,74.980003,75.010002,74.628632,483800
2017-08-08,75.089996,75.389999,74.970001,75.250000,74.867409,420500
2017-08-09,74.839996,76.279999,74.680000,76.250000,75.862328,577700
2017-08-10,76.029999,76.790001,75.589996,75.919998,75.533997,750700
2017-08-11,76.160004,76.379997,75.410004,75.500000,75.116135,673600
2017-08-14,75.959999,76.910004,75.940002,76.800003,76.409531,706500
2017-08-15,77.089996,77.199997,76.830002,77.000000,76.608513,782600
2017-08-16,77.300003,77.750000,77.029999,77.120003,76.727905,601700
2017-08-17,77.050003,77.440002,76.190002,76.279999,75.892174,560100
2017-08-18,76.129997,76.199997,74.620003,74.910004,74.529144,1542000
2017-08-21,74.900002,75.440002,74.669998,75.290001,74.907204,942500
2017-08-22,75.580002,76.669998,75.419998,76.440002,76.051361,693800
2017-08-23,76.129997,76.129997,75.610001,75.690002,75.305176,690200
2017-08-24,75.900002,75.900002,74.910004,74.940002,74.558990,854600
2017-08-25,75.250000,76.150002,75.250000,75.750000,75.364868,560400
2017-08-28,76.000000,76.150002,75.379997,75.629997,75.245476,546200
2017-08-29,75.129997,75.379997,74.870003,75.209999,74.827614,766300
2017-08-30,75.150002,75.529999,75.050003,75.080002,74.698273,585800
2017-08-31,75.169998,75.760002,75.169998,75.379997,74.996742,586700
2017-09-01,75.480003,75.690002,75.190002,75.370003,74.986801,550400
2017-09-05,75.370003,75.370003,73.699997,74.379997,74.001831,1049900
2017-09-06,74.639999,75.080002,74.150002,74.190002,73.812798,799500
2017-09-07,74.220001,74.349998,73.349998,73.720001,73.345192,1098100
2017-09-08,73.750000,74.750000,73.750000,74.349998,73.971985,842800
2017-09-11,74.639999,75.160004,74.059998,74.169998,73.792900,1443700
2017-09-12,73.900002,75.040001,73.769997,75.029999,74.648529,536400
2017-09-13,74.910004,75.089996,74.500000,74.739998,74.360001,644900
2017-09-14,74.339996,74.739998,74.300003,74.699997,74.699997,1198300
2017-09-15,74.730003,75.199997,74.410004,74.750000,74.750000,1423300
2017-09-18,74.809998,75.279999,74.610001,75.089996,75.089996,973700
2017-09-19,75.279999,76.440002,75.269997,76.320000,76.320000,882400
2017-09-20,75.889999,76.889999,75.660004,76.739998,76.739998,1074400
